DỮ LIỆU VỀ MÔI TRƯỜNG NƯỚC BIỂN (Vùng bờ Quần đảo Cát Bà năm 2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Nguồn: TT quan trắc tài nguyên và môi trường - Sở TNMT TP. Hải Phòng),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,Thông số,Đơn vị,Giá trị đo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tháng 2,Tháng 5,Tháng 8,Tháng 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Nhiệt độ thích hợp,20-28,20.3,perfect,,,,Nhiệt độ thích hợp,20-28,30.2,high very,very low,,,Nhiệt độ thích hợp,20-28,28.5,high very,very low,,,Nhiệt độ thích hợp,20-28,21.2,perfect,,
,,,,,,,,,,,,pH,7.5 ÷ 8,8.03,high very,very low,,,pH,7.5 ÷ 8,8.45,high,low,,,pH,7.5 ÷ 8,8.26,high very,very low,,,pH,7.5 ÷ 8,8.18,high very,very low,
,,,,,,,,,,,,Độ mặn,20 ÷ 25,28,high very,very low,,,Độ mặn,20 ÷ 25,31.2,medium,medium,,,Độ mặn,20 ÷ 25,27.5,high very,very low,,,Độ mặn,20 ÷ 25,28.9,high,low,
,,,,,,,,,,,,Độ kiềm,60 ÷ 180,64,perfect,,,,Độ kiềm,60 ÷ 180,67,perfect,,,,Độ kiềm,60 ÷ 180,66.4,perfect,,,,Độ kiềm,60 ÷ 180,70,perfect,,
,,,,,,,,,,,,Độ trong,20 ÷ 50,250,,,perfect,,Độ trong,20 ÷ 50,430,,,perfect,,Độ trong,20 ÷ 50,410,,,perfect,,Độ trong,20 ÷ 50,230,,,perfect
,,,,,,,,,,,,NH3,"< 0,3",0.026,very low,high very,,,NH3,"< 0,3",0.027,very low,high very,,,NH3,"< 0,3",0.031,very low,high very,,,NH3,"< 0,3",0.034,very low,high very,
,,,,,,,,,,,,H2S,"< 0,05",0.018,very low,high very,,,H2S,"< 0,05",0.019,very low,high very,,,H2S,"< 0,05",0.022,very low,high very,,,H2S,"< 0,05",0.018,very low,high very,
,,,,,,,,,,,,Nhiệt độ,18 ÷ 33,20,high very,very low,,,Nhiệt độ,18 ÷ 33,28.5,perfect,,,,Nhiệt độ,18 ÷ 33,28.6,perfect,,,,Nhiệt độ,18 ÷ 33,27.2,perfect,,
,,,,,,,,,,,,BOD5(200C),≤ 50,4,very low,high very,,,BOD5(200C),≤ 50,4.21,very low,high very,,,BOD5(200C),≤ 50,4.66,very low,high very,,,BOD5(200C),≤ 50,3.57,very low,high very,
,,,,,,,,,,,,COD,≤ 150,1.7,very low,high very,,,COD,≤ 150,1.74,very low,high very,,,COD,≤ 150,1.67,very low,high very,,,COD,≤ 150,1.66,very low,high very,
,,,,,,,,,,,,Coliform,≤ 5.000,410,very low,high very,,,Coliform,≤ 5.000,450,very low,high very,,,Coliform,≤ 5.000,523,very low,high very,,,Coliform,≤ 5.000,540,very low,high very,
,,,,,,,,,,,,TSS,50,5.6,,none,perfect,,TSS,50,18.3,,medium,medium,,TSS,50,10.8,,low,high,,TSS,50,5.8,,,perfect
,,,,,,,,,,,,CN-,0.1,0.0022,,none,perfect,,CN-,0.1,0.0019,,,perfect,,CN-,0.1,0.0018,,,perfect,,CN-,0.1,0.0021,,,perfect
,,,,,,,,,,,,As,0.02,0.034,high very,very low,,,As,0.02,0.038,high very,very low,,,As,0.02,0.037,high very,very low,,,As,0.02,0.036,high very,very low,
,,,,,,,,,,,,Cd,0.005,0.004,medium,medium,,,Cd,0.005,0.0051,perfect,,,,Cd,0.005,0.0062,high very,very low,,,Cd,0.005,0.0061,high very,very low,
,,,,,,,,,,,,Pb,0.05,0.0055,,very low,high very,,Pb,0.05,0.008,,very low,high very,,Pb,0.05,0.009,,very low,high very,,Pb,0.05,0.007,,very low,high very
,,,,,,,,,,,,Cu,0.2,0.0784,a slightly low,medium,very low,,Cu,0.2,0.007,,none,perfect,,Cu,0.2,0.0066,,none,perfect,,Cu,0.2,0.007,,,perfect
,,,,,,,,,,,,Hg,0.001,0.00321,high very,very low,,,Hg,0.001,0.0035,high very,very low,,,Hg,0.001,0.0045,high very,very low,,,Hg,0.001,0.0027,high very,very low,
,,,,,,,,,,,,Zn,0.5,0.622,high very,very low,,,Zn,0.5,0.55,perfect,,,,Zn,0.5,0.58,perfect,,,,Zn,0.5,0.056,perfect,,
,,,,,,,,,,,,Tổng Crom,0.1,0.163,high very,very low,,,Tổng Crom,0.1,0.19,high,low,,,Tổng Crom,0.1,0.018,,low,high,,Tổng Crom,0.1,0.18,high,low,
,,,,,,,,,,,,,,,,,87.50%,,,,,,,75%,,,,,,,87.50%,,,,,,,75%
